Cremaster Duke network with 295 segments - flows in nl/min (Jan. 2015) 
1100. 1000. 240. box dimensions in microns
73  67  16   number of tissue points in x,y,z directions
0.	outer bound distance
100.		max. segment length
4		maximum number of segments per node
295	total number of segments
SegName Type StartNode EndNode Diam   Flow[nl/min]    Hd
111	5	105	106	7.9	-0.2475	0.4	*		
112	5	107	108	11.1	16.566	0.4	*		
113	5	108	102	11.6	16.566	0.4	*		
114	5	102	109	14.2	14.091	0.4	*		
115	5	109	86	11.1	12.2265	0.4	*		
116	5	111	110	11.3	2.871	0.4	*		
117	5	86	111	8.8	3.9765	0.4	*		
118	5	13	279	12	1.32825	0.4	*		
119	5	111	106	8.9	1.1055	0.4	*		
120	5	106	113	8.2	0.858	0.4	*		
121	5	109	114	8.6	1.8645	0.4	*		
122	5	114	115	9.8	1.8645	0.4	*		
123	5	115	100	8.4	1.8645	0.4	*		
124	5	100	116	9.3	0.9405	0.4	*		
125	5	116	117	9.2	0.9405	0.4	*		
126	5	117	88	8.9	0.9405	0.4	*		
127	5	118	119	9.1	2.61525	0.4	*		
128	5	119	120	9.7	2.61525	0.4	*		
129	5	120	121	9.2	2.61525	0.4	*		
130	5	121	122	9	2.61525	0.4	*		
131	5	122	123	9.1	0.47025	0.4	*		
132	5	123	124	9.1	0.47025	0.4	*		
133	5	124	125	8.5	0.297	0.4	*		
134	5	122	126	12.6	2.145	0.4	*		
135	5	126	127	13.4	1.0395	0.4	*		
136	5	127	128	14.8	0.53625	0.4	*		
137	5	128	129	11.9	0.53625	0.4	*		
138	5	127	130	10.4	0.50325	0.4	*		
139	5	130	131	9.4	0.50325	0.4	*		
140	5	131	26	10.6	0.50325	0.4	*		
141	5	126	132	7.9	1.1055	0.4	*		
142	5	132	133	6.5	0.17325	0.4	*		
143	5	133	134	6.4	0.17325	0.4	*		
144	5	132	135	6.5	0.93225	0.4	*		
145	5	135	136	6.1	0.93225	0.4	*		
146	5	136	137	6	0.93225	0.4	*		
147	5	138	139	17.2	1.37775	0.4	*		
148	5	139	140	16.5	1.72425	0.4	*		
149	5	140	141	16.7	2.244	0.4	*		
150	5	141	142	15.8	1.452	0.4	*		
151	5	142	143	10	1.452	0.4	*		
152	5	141	144	19	0.792	0.4	*		
153	5	144	145	19.3	0.792	0.4	*		
154	5	140	146	8.3	-0.51975	0.4	*		
155	5	146	147	7.4	-0.51975	0.4	*		
156	5	147	148	7.7	-0.51975	0.4	*		
157	5	149	150	7.9	-0.066	0.4	*		
158	5	150	151	7.5	1.75725	0.4	*		
159	5	151	152	9.2	0.93225	0.4	*		
160	5	152	153	7.5	0.93225	0.4	*		
161	5	153	154	8	0.93225	0.4	*		
162	5	154	155	9.4	0.93225	0.4	*		
163	5	151	156	7.1	0.825	0.4	*		
164	5	156	157	7.9	0.825	0.4	*		
165	5	158	159	78.6	16.5	0.4	*		
166	5	159	160	76.4	16.5	0.4	*		
167	5	160	145	80.7	16.5	0.4	*		
168	5	145	161	82.2	17.292	0.4	*		
169	5	161	162	79.2	17.292	0.4	*		
170	5	163	164	20.4	-5.89875	0.4	*		
171	5	164	165	23.7	-5.89875	0.4	*		
172	5	165	80	25.2	-3.8775	0.4	*		
173	5	165	166	16.1	-2.02125	0.4	*		
174	5	166	167	12.2	-2.02125	0.4	*		
175	5	167	168	13.7	-2.02125	0.4	*		
176	5	168	169	9.8	-2.02125	0.4	*		
177	5	169	170	7.9	-2.02125	0.4	*		
